param_value,seed,rmse_train,rmse_val,train_time_sec,num_features_used,num_leaves,num_nodes
0.1,0,0.027571665894787427,0.11442547447660653,1.0425307750701904,79,5023,9846
0.1,42,0.027571665894787427,0.11442547447660653,0.5738542079925537,79,5023,9846
0.1,123,0.027571665894787427,0.11442547447660653,0.6303682327270508,79,5023,9846
1.0,0,0.029487318193322475,0.11879958991775234,0.6162705421447754,77,5014,9828
1.0,42,0.029487318193322475,0.11879958991775234,0.584683895111084,77,5014,9828
1.0,123,0.029487318193322475,0.11879958991775234,0.5994489192962646,77,5014,9828
5.0,0,0.040409243907154266,0.11868424749803923,0.6204369068145752,76,4859,9518
5.0,42,0.040409243907154266,0.11868424749803923,0.5072677135467529,76,4859,9518
5.0,123,0.040409243907154266,0.11868424749803923,0.6033754348754883,76,4859,9518
10.0,0,0.049682899661176616,0.11658254131604384,0.6195921897888184,73,4532,8864
10.0,42,0.049682899661176616,0.11658254131604384,0.570824146270752,73,4532,8864
10.0,123,0.049682899661176616,0.11658254131604384,0.5919830799102783,73,4532,8864
