param_value,seed,rmse_train,rmse_val,train_time_sec,depth,n_trees,nodes_per_tree,leaves_per_tree
1,0,0.06730843494419131,0.10842136128490902,0.7700245380401611,5,,63,32
1,42,0.0696911514326578,0.10963522490586822,0.8567419052124023,5,,63,32
1,123,0.06725483694125028,0.10837505916875924,0.7229013442993164,5,,63,32
3,0,0.07691617253845051,0.11058349871032133,0.7264037132263184,5,,63,32
3,42,0.07555323517001457,0.1092970157803977,0.6451382637023926,5,,63,32
3,123,0.07573414740056146,0.10876965577562292,0.6597156524658203,5,,63,32
5,0,0.08359450024505734,0.11087167070241737,0.6557705402374268,5,,63,32
5,42,0.08298995843910394,0.1100375208034004,0.6859004497528076,5,,63,32
5,123,0.08154674132783139,0.1107966647303764,0.6507010459899902,5,,63,32
10,0,0.09625969564103323,0.11390971965980037,0.7183351516723633,5,,63,32
10,42,0.09392325604915629,0.11101259800585982,0.7090892791748047,5,,63,32
10,123,0.0977896779858708,0.1145083212636995,0.6929590702056885,5,,63,32
20,0,0.10748855759623716,0.11611860544508203,0.6492025852203369,5,,63,32
20,42,0.10655325324514048,0.11502440499001094,0.690279483795166,5,,63,32
20,123,0.1049560607998929,0.11457762024593705,0.6587104797363281,5,,63,32
