param_value,rmse_val_mean,rmse_val_std,rmse_train_mean,rmse_train_std,train_time_mean,train_time_std
1,0.10881054845317883,0.0007145658893378951,0.0680848077726998,0.0013913925225813456,0.7832225958506266,0.06788936208168889
3,0.10955005675544732,0.0009330213551840022,0.07606785170300885,0.0007402151637690811,0.6770858764648438,0.04332795671288481
5,0.11056861874539807,0.0004614707379196028,0.08271040000399756,0.0010521139837246435,0.6641240119934082,0.019028527901494258
10,0.11314354630978657,0.0018695685265734093,0.09599087655868677,0.0019471780664469258,0.7067945003509521,0.012842736664692251
20,0.11524021022701002,0.000792835273706419,0.10633262388042351,0.0012805830677097955,0.666064182917277,0.02150315353586126
