grow_policy,seed,rmse_val,train_time_sec,avg_tree_depth,avg_nodes_per_tree
depthwise,0,0.45727527410535024,0.12691044807434082,5.0,55.08
depthwise,42,0.45727527410535024,0.12900018692016602,5.0,55.08
depthwise,123,0.45727527410535024,0.1360015869140625,5.0,55.08
lossguide,0,0.45727527410535024,0.16700005531311035,5.0,55.08
lossguide,42,0.45727527410535024,0.16900014877319336,5.0,55.08
lossguide,123,0.45727527410535024,0.1640005111694336,5.0,55.08
