subsample,colsample_bytree,seed,rmse_val,train_time_sec
0.6,0.6,0,0.11199363682640845,0.2921416759490967
0.6,0.6,42,0.1156368975515225,0.20367789268493652
0.6,0.6,123,0.11087141810641175,0.1805257797241211
0.6,0.8,0,0.11057296867717452,0.22672796249389648
0.6,0.8,42,0.1130654735134033,0.18503904342651367
0.6,0.8,123,0.10937503682241363,0.22757387161254883
0.6,1.0,0,0.11530052998328527,0.19188427925109863
0.6,1.0,42,0.11363904014387911,0.21008872985839844
0.6,1.0,123,0.11258958313220588,0.2506828308105469
0.8,0.6,0,0.11066757956398184,0.24147701263427734
0.8,0.6,42,0.11681409657946573,0.24035382270812988
0.8,0.6,123,0.11005754700902624,0.26052236557006836
0.8,0.8,0,0.1175209989562909,0.23435759544372559
0.8,0.8,42,0.11403198594024665,0.24201154708862305
0.8,0.8,123,0.11396863392436445,0.2116258144378662
0.8,1.0,0,0.11450903282055522,0.21449065208435059
0.8,1.0,42,0.11665282565965727,0.21996068954467773
0.8,1.0,123,0.1137520381283647,0.22595882415771484
1.0,0.6,0,0.11242917502558114,0.19136548042297363
1.0,0.6,42,0.11177971308565977,0.20975613594055176
1.0,0.6,123,0.10849230918847069,0.19478607177734375
1.0,0.8,0,0.11409030345811304,0.28205013275146484
1.0,0.8,42,0.11480379287729375,0.35045385360717773
1.0,0.8,123,0.11536394676109216,0.27055859565734863
1.0,1.0,0,0.11879958991775234,0.2566545009613037
1.0,1.0,42,0.11879958991775234,0.250856876373291
1.0,1.0,123,0.11879958991775234,0.2781198024749756
