l2_leaf_reg,train_auc_mean,train_auc_std,val_auc_mean,val_auc_std,gap_mean,gap_std
1,0.8960131527523357,0.0039088850365642,0.8452655282578556,0.0099176642745654,0.05074762449448,0.006010942319619
3,0.8937028558592264,0.0059968973023677,0.8468366529747605,0.0112502558481498,0.0468662028844658,0.0075863949983306
5,0.8974405032694684,0.0088096230782656,0.8499293876531727,0.0103868315927245,0.0475111156162956,0.0146842457165312
10,0.8809331957508896,0.0143957785216435,0.8504615636329191,0.013513181779152,0.0304716321179704,0.0274710960908463
20,0.8853998038615201,0.0173542271243282,0.853828997563013,0.0082598439071847,0.031570806298507,0.0113729600205891
