subsample,colsample_bytree,seed,val_auc,val_f1,train_time_s
0.6,0.6,42,0.8264163372859026,0.5875706214689266,17.954251766204834
0.6,0.6,7,0.8354452452917926,0.5925925925925926,17.64688277244568
0.6,0.6,2023,0.8199488491048594,0.56,17.048433542251587
0.6,0.8,42,0.8227531065126973,0.5603448275862069,17.36032772064209
0.6,0.8,7,0.8343447260327055,0.5823529411764706,16.962441205978394
0.6,0.8,2023,0.8223152238497508,0.5676470588235294,17.288551330566406
0.6,1.0,42,0.8224172673021778,0.5770862800565771,17.10946011543274
0.6,1.0,7,0.8318285153323516,0.5836909871244635,17.134362936019897
0.6,1.0,2023,0.8127386395928595,0.5527488855869243,17.428795099258423
0.8,0.6,42,0.8209860755896562,0.5722379603399433,16.462343215942383
0.8,0.6,7,0.8349569867472679,0.5916305916305916,19.323970556259155
0.8,0.6,2023,0.8219458007181792,0.5637982195845698,17.279906272888184
0.8,0.8,42,0.8197796378103284,0.5839210155148096,16.96261739730835
0.8,0.8,7,0.8344764783383709,0.5877192982456141,16.909194707870483
0.8,0.8,2023,0.8209951174145548,0.5558823529411765,16.934749364852905
0.8,1.0,42,0.8223345991888191,0.5661971830985916,16.954163312911987
0.8,1.0,7,0.8342620579193469,0.5806451612903226,16.96880078315735
0.8,1.0,2023,0.8199901831615386,0.5586107091172214,17.019229888916016
1.0,0.6,42,0.8219819680177736,0.552821997105644,14.314923286437988
1.0,0.6,7,0.8401779947815755,0.599406528189911,14.357833623886108
1.0,0.6,2023,0.8278539874447802,0.5663716814159292,14.591859340667725
1.0,0.8,42,0.8234015345268543,0.563953488372093,14.059927225112915
1.0,0.8,7,0.8409478415872278,0.592375366568915,14.107442855834961
1.0,0.8,2023,0.8266307577049264,0.5751824817518248,14.306163311004639
1.0,1.0,42,0.8232129478932548,0.5555555555555556,14.00215482711792
1.0,1.0,7,0.8374886977188766,0.5929203539823009,14.088545560836792
1.0,1.0,2023,0.8257756594073729,0.5797950219619327,14.630127191543579
