l2_leaf_reg,train_auc_mean,train_auc_std,val_auc_mean,val_auc_std,gap_mean,gap_std
1,0.8960131527523357,0.0039088850365642976,0.8452655282578556,0.009917664274565488,0.05074762449448008,0.006010942319619044
3,0.8937028558592264,0.005996897302367782,0.8468366529747605,0.011250255848149891,0.04686620288446589,0.007586394998330623
5,0.8974405032694684,0.008809623078265627,0.8499293876531727,0.010386831592724511,0.04751111561629562,0.014684245716531227
10,0.8809331957508896,0.014395778521643532,0.8504615636329191,0.01351318177915202,0.030471632117970437,0.02747109609084632
20,0.8853998038615201,0.017354227124328266,0.853828997563013,0.008259843907184778,0.031570806298507094,0.011372960020589157
