bagging_temperature,seed,val_auc,val_f1,train_time_s
0.0,42,0.8411868041024053,0.5648148148148148,16.75875496864319
0.0,7,0.8618099150068459,0.6191198786039454,17.26374077796936
0.0,2023,0.8565359477124184,0.5837173579109063,17.098641872406006
0.5,42,0.8411868041024053,0.5648148148148148,17.200028657913208
0.5,7,0.8618099150068459,0.6191198786039454,17.05587363243103
0.5,2023,0.8565359477124184,0.5837173579109063,17.36051297187805
1.0,42,0.8411868041024053,0.5648148148148148,17.120103120803833
1.0,7,0.8618099150068459,0.6191198786039454,16.868971586227417
1.0,2023,0.8565359477124184,0.5837173579109063,16.898726224899292
2.0,42,0.8411868041024053,0.5648148148148148,17.35629940032959
2.0,7,0.8618099150068459,0.6191198786039454,17.222888708114624
2.0,2023,0.8565359477124184,0.5837173579109063,16.878450393676758
5.0,42,0.8411868041024053,0.5648148148148148,18.57732605934143
5.0,7,0.8618099150068459,0.6191198786039454,17.938942909240723
5.0,2023,0.8565359477124184,0.5837173579109063,16.77244210243225
