grow_policy,seed,val_auc,val_f1,train_time_s,approx_total_nodes,approx_nonzero_leaves,avg_nodes_per_tree,estimated_avg_depth
depthwise,42,0.8232129478932548,0.5555555555555556,13.33456826210022,16918,8609,56.39333333333333,6
depthwise,7,0.8374886977188766,0.5929203539823009,14.762871503829956,18026,9163,60.086666666666666,6
depthwise,2023,0.8257756594073729,0.5797950219619327,16.236693859100342,18150,9225,60.5,6
lossguide,42,0.8232129478932548,0.5555555555555556,21.22877860069275,16918,8609,56.39333333333333,6
lossguide,7,0.8374886977188766,0.5929203539823009,19.636338710784912,18026,9163,60.086666666666666,6
lossguide,2023,0.8257756594073729,0.5797950219619327,18.942366123199463,18150,9225,60.5,6
